"","playerId","season","name","team","position","games_played","icetime","shifts","gameScore","I_F_xGoals","I_F_xRebounds","Assists","I_F_points","I_F_goals","I_F_rebounds","I_F_hits","I_F_takeaways","I_F_giveaways","lowDangerGoaAbvExp","medDangerGoaAbvExp","highDangerGoaAbvExp","faceoffsWon","penalityMinutes","penalityMinutesDrawn","shotsBlockedByPlayer","subsetclust1"
"34",8477496,2021,"Elias Lindholm","CGY","C",82,98129,2077,99.17,27.52,18.09,40,82,42,15,66,55,41,-8.33,-6.65,0.51,842,22,28,52,2
"35",8476881,2021,"Tomas Hertl","SJS","C",82,98106,2079,62.14,29.02,16.46,34,64,30,17,105,65,31,0.31,-2.56,1.27,769,30,32,57,2
"36",8475798,2021,"Mikael Granlund","NSH","C",80,97990,1923,50.5,14.63,9.29,53,64,11,12,92,57,51,0.79,1.88,0.96,569,33,55,45,2
"37",8477500,2022,"Bo Horvat","NYI","C",79,97900,1965,74.44,29.06,17.09,32,70,38,20,57,38,37,-4.98,-6.59,2.64,958,18,40,55,2
"38",8478550,2023,"Artemi Panarin","NYR","L",81,97638,1762,124.22,30.01,19.92,70,118,48,22,18,33,69,-10.53,-4.53,-2.93,1,24,44,15,2
"39",8476454,2022,"Ryan Nugent-Hopkins","EDM","C",82,97422,1876,89.27,31.19,14.41,67,104,37,20,48,56,31,-2.65,-3.05,-0.12,308,35,27,26,2
"40",8477933,2022,"Sam Reinhart","FLA","C",82,97323,1876,77.29,37.24,19.86,36,67,31,26,58,35,38,-1.98,4.9,3.32,236,12,30,49,2
"41",8479314,2022,"Matthew Tkachuk","FLA","L",79,96866,1779,134.09,45.48,28.08,69,109,40,50,68,38,62,1.76,0.3,3.43,13,73,83,31,2
"42",8478010,2022,"Brayden Point","TBL","C",82,96775,1743,97.35,39.6,21.3,44,95,51,24,37,51,45,-2.16,-5.08,-4.15,417,7,41,37,2
"43",8473512,2023,"Claude Giroux","OTT","R",80,96560,2110,69.56,17.93,11.5,43,64,21,24,38,53,44,-2.27,-4.12,3.31,654,26,50,29,2
"44",8478550,2022,"Artemi Panarin","NYR","L",82,96470,1573,84.38,17.26,15.84,63,92,29,20,26,36,102,-8.43,-5.24,1.92,6,36,28,11,2
"45",8471675,2023,"Sidney Crosby","PIT","C",80,96387,1949,102.73,39.04,20.77,49,90,41,31,98,71,54,-7.22,3.13,2.12,1060,40,58,37,2
"46",8477956,2022,"David Pastrnak","BOS","R",82,96257,1820,123.3,45.36,28.79,52,113,61,36,91,52,109,-14.75,0.39,-1.29,8,38,56,33,2
"47",8477934,2019,"Leon Draisaitl","EDM","C",71,96187,1534,91.66,30.47,15.89,66,109,43,16,27,60,91,-3.72,-6.93,-1.88,661,18,40,19,2
"48",8475744,2021,"Evgeny Kuznetsov","WSH","C",79,96129,1836,69.73,23.03,15.86,54,78,24,11,42,54,51,-2.55,1.87,-0.29,507,34,44,25,2
"49",8477956,2023,"David Pastrnak","BOS","R",80,95904,1791,112.01,37.02,27.32,62,109,47,39,67,53,94,-2.57,-3.93,-3.48,7,37,54,19,2
"50",8477939,2023,"William Nylander","TOR","R",80,95891,1818,95.47,30.38,21.49,57,97,40,30,30,67,44,-10.38,-2.33,3.08,55,24,40,29,2
"51",8475158,2023,"Ryan O'Reilly","NSH","C",81,95874,1952,71.84,29.11,16.37,42,68,26,28,25,64,30,1.43,3.6,-1.91,818,18,26,56,2
"52",8478445,2023,"Mathew Barzal","NYI","C",79,95586,1749,81.89,20.02,15.59,57,80,23,18,54,84,89,-2.02,-3.04,2.08,49,34,50,52,2
"53",8475786,2022,"Zach Hyman","EDM","L",79,95514,1712,89.52,51.19,24.59,47,83,36,30,77,33,30,2.44,6.08,6.67,6,39,51,19,2
