playerId,season,name,team,position,games_played,icetime,GoalsSavedAbvExp,xGoals,goals,ReboundsAbvExp,XPlayConAbvExp,lowDangerGoalAbvExp,medDangerGoalAbvExp,highDangerGoalAbvExp,penalityMinutes
8477970,2020,Vitek Vanecek,WSH,G,37,126929,-7.28,87.72,95,2.21,130.39,-5.16,-4.6,2.47,0
8478039,2022,Kaapo Kahkonen,SJS,G,37,126375,-24.58,110.42,135,-24.18,133.9,-8.87,-17.55,1.84,0
8475809,2021,Scott Wedgewood,DAL,G,37,126290,1.6,111.6,110,-24.25,167.52,2.27,3.73,-4.4,0
8478406,2020,Mackenzie Blackwood,N.J,G,35,125437,-8.55,97.45,106,-3.51,182.73,-2.79,-0.48,-5.29,0
8477831,2022,Pheonix Copley,LAK,G,37,125369,4.7,96.7,92,-19.69,114.3,-4.69,3.51,5.88,9
8477967,2020,Thatcher Demko,VAN,G,35,125212,6.78,105.78,99,-3.09,145.17,1.26,5.39,0.12,0
8479193,2022,Casey DeSmith,PIT,G,38,123957,2.88,111.88,109,-30.34,89.24,-5.12,1.43,6.55,2
8475831,2022,Philipp Grubauer,SEA,G,39,123937,-0.68,97.32,98,-31.51,84.7,-4.12,1.6,1.84,0
8477968,2023,Alex Nedeljkovic,PIT,G,38,123628,-3.3,98.7,102,-35.95,44.31,1.05,-5.36,1.02,0
8477424,2020,Juuse Saros,NSH,G,36,123082,13.15,91.15,78,-12.62,150.58,7.99,2.31,2.85,2
8478872,2023,Karel Vejmelka,ARI,G,38,122408,-6.67,107.33,114,-35.3,85.81,-13.98,-0.93,8.24,2
8476434,2020,John Gibson,ANA,G,35,121887,-7.36,93.64,101,-17.76,124.28,7.17,-9.64,-4.89,2
8475789,2022,Jack Campbell,EDM,G,36,121583,-18.28,96.72,115,-14.24,97.23,-9.84,-3.3,-5.14,2
8480280,2022,Jeremy Swayman,BOS,G,37,120779,24,100,76,-24.28,123.23,4.83,4.96,14.21,2
8477361,2020,Calvin Petersen,L.A,G,35,119840,-3.08,93.92,97,-17.76,174.81,-1.48,-6.39,4.78,0
8474889,2021,Martin Jones,PHI,G,35,119828,-9.42,104.58,114,-7.97,147.39,-2.52,-8.97,2.07,0
8475831,2023,Philipp Grubauer,SEA,G,36,119796,-5.85,89.15,95,-41.33,109.65,-11.77,-0.1,6.02,4
8474596,2023,Jake Allen,NJD,G,34,119213,-1.92,112.08,114,-61.94,68.43,-15.17,2.92,10.32,2
8475883,2022,Frederik Andersen,CAR,G,34,119061,-3.45,78.55,82,-28.66,134.81,-5.14,-9.06,10.75,0
8478499,2023,Adin Hill,VGK,G,35,118129,6.4,95.4,89,-30.56,61.94,-4.07,-1.34,11.81,0
8475660,2020,Cam Talbot,MIN,G,33,117687,-2.18,83.82,86,-4.67,148.28,-1.63,-3.41,2.86,0
8474596,2021,Jake Allen,MTL,G,35,116860,-2.15,104.85,107,-14.44,89.15,-1.87,-1.53,1.26,2
8475660,2022,Cam Talbot,OTT,G,36,116820,-0.73,94.27,95,-28.05,114.17,-4.3,-0.58,4.15,0
8478039,2021,Kaapo Kahkonen,SJS,G,36,116817,5.19,98.19,93,-12.56,167.67,5.75,6.7,-7.27,2
8478470,2021,Sam Montembeault,MTL,G,38,116569,-17.29,104.71,122,1.82,115.89,-6.92,-13.63,3.25,0
8478039,2023,Kaapo Kahkonen,NJD,G,37,114853,1.36,117.36,116,-53.1,58.68,-13.95,-4.38,19.69,4
8480045,2022,Ukko-Pekka Luukkonen,BUF,G,33,114613,-5.01,109.99,115,-25.43,142.52,-6.17,-3.05,4.21,2
8478048,2020,Igor Shesterkin,NYR,G,35,113941,2.99,85.99,83,2.81,103.16,-1.19,1.87,2.31,0
8477967,2022,Thatcher Demko,VAN,G,32,112711,-5.65,93.35,99,-17.03,88.45,-1.3,-7.33,2.99,4
8474889,2020,Martin Jones,S.J,G,34,112105,-18.89,83.11,102,-2.36,101.2,-6.5,-9.47,-2.92,0
